width,lr,dropout,l2,best_val_acc
16,0.05,0.0,0.0,0.42413461208343506
16,0.05,0.0,0.01,0.4927884638309479
16,0.05,0.2,0.0,0.18149039149284363
16,0.05,0.2,0.01,0.34485575556755066
16,0.01,0.0,0.0,0.7360095977783203
16,0.01,0.0,0.01,0.6558173298835754
16,0.01,0.2,0.0,0.7089422941207886
16,0.01,0.2,0.01,0.6254807710647583
16,0.005,0.0,0.0,0.7333653569221497
16,0.005,0.0,0.01,0.6911538243293762
16,0.005,0.2,0.0,0.6783173084259033
16,0.005,0.2,0.01,0.6566346287727356
16,0.001,0.0,0.0,0.7603365182876587
16,0.001,0.0,0.01,0.7093750238418579
16,0.001,0.2,0.0,0.7467788457870483
16,0.001,0.2,0.01,0.6834615468978882
32,0.05,0.0,0.0,0.44274038076400757
32,0.05,0.0,0.01,0.505961537361145
32,0.05,0.2,0.0,0.3256250023841858
32,0.05,0.2,0.01,0.4053846299648285
32,0.01,0.0,0.0,0.790336549282074
32,0.01,0.0,0.01,0.7022596001625061
32,0.01,0.2,0.0,0.7709615230560303
32,0.01,0.2,0.01,0.6687019467353821
32,0.005,0.0,0.0,0.8283653855323792
32,0.005,0.0,0.01,0.7412980794906616
32,0.005,0.2,0.0,0.7870672941207886
32,0.005,0.2,0.01,0.7171634435653687
32,0.001,0.0,0.0,0.8418750166893005
32,0.001,0.0,0.01,0.769903838634491
32,0.001,0.2,0.0,0.8121153712272644
32,0.001,0.2,0.01,0.7395672798156738
64,0.05,0.0,0.0,0.39076924324035645
64,0.05,0.0,0.01,0.5062980651855469
64,0.05,0.2,0.0,0.324855774641037
64,0.05,0.2,0.01,0.40072116255760193
64,0.01,0.0,0.0,0.8296154141426086
64,0.01,0.0,0.01,0.7082692384719849
64,0.01,0.2,0.0,0.8176442384719849
64,0.01,0.2,0.01,0.6799038648605347
64,0.005,0.0,0.0,0.858269214630127
64,0.005,0.0,0.01,0.7461057901382446
64,0.005,0.2,0.0,0.8437981009483337
64,0.005,0.2,0.01,0.7244230508804321
64,0.001,0.0,0.0,0.8736538290977478
64,0.001,0.0,0.01,0.782355785369873
64,0.001,0.2,0.0,0.8700481057167053
64,0.001,0.2,0.01,0.7695192098617554
128,0.05,0.0,0.0,0.46302884817123413
128,0.05,0.0,0.01,0.5182211399078369
128,0.05,0.2,0.0,0.32076922059059143
128,0.05,0.2,0.01,0.40187498927116394
128,0.01,0.0,0.0,0.8426923155784607
128,0.01,0.0,0.01,0.7231730818748474
128,0.01,0.2,0.0,0.8309615254402161
128,0.01,0.2,0.01,0.6806730628013611
128,0.005,0.0,0.0,0.8754807710647583
128,0.005,0.0,0.01,0.7489903569221497
128,0.005,0.2,0.0,0.8706730604171753
128,0.005,0.2,0.01,0.7304326891899109
128,0.001,0.0,0.0,0.8962980508804321
128,0.001,0.0,0.01,0.7910096049308777
128,0.001,0.2,0.0,0.8953365683555603
128,0.001,0.2,0.01,0.7769230604171753
256,0.05,0.0,0.0,0.4944230914115906
256,0.05,0.0,0.01,0.5051442384719849
256,0.05,0.2,0.0,0.37841346859931946
256,0.05,0.2,0.01,0.39528846740722656
256,0.01,0.0,0.0,0.8424999713897705
256,0.01,0.0,0.01,0.7250961661338806
256,0.01,0.2,0.0,0.8409134745597839
256,0.01,0.2,0.01,0.6870192289352417
256,0.005,0.0,0.0,0.8775961399078369
256,0.005,0.0,0.01,0.7529807686805725
256,0.005,0.2,0.0,0.8789904117584229
256,0.005,0.2,0.01,0.7307692170143127
256,0.001,0.0,0.0,0.9028365612030029
256,0.001,0.0,0.01,0.7921153903007507
256,0.001,0.2,0.0,0.9072115421295166
256,0.001,0.2,0.01,0.77754807472229
